review,rating,label_kamus,label_rating,final_label
"𝗔𝘀𝘀𝗮𝗹𝗮𝗺𝘂𝗮𝗹𝗮𝗶𝗸𝘂𝗺 𝘄𝗮𝗿𝗿𝗮𝗵𝗺𝗮𝘁𝘂𝗹𝗹𝗮𝗵𝗶 𝘄𝗮𝗯𝗮𝗿𝗮𝗸𝗮𝘁𝘂𝗵.... 𝗕𝗦𝗶🙏 𝗦𝗲𝗹𝗮𝗺𝗮 𝘀𝗮𝘆𝗮 𝗺𝗲𝗺𝗮𝗸𝗮𝗶 𝗮𝗽𝗹𝗶𝗸𝗮𝘀𝗶 𝗕𝗬𝗢𝗡𝗱 𝗶𝗻𝗶 ,𝗔𝗹𝗵𝗮𝗺𝗱𝘂𝗹𝗶𝗹𝗹𝗮𝗵...𝗯𝗮𝗶𝗸 𝗱𝗮𝗻 𝘁𝗶𝗱𝗮𝗸 𝗮𝗱𝗮 𝗸𝗲𝗻𝗱𝗮𝗹𝗮 𝘀𝗮𝗺𝗮 𝘀𝗲𝗸𝗮𝗹𝗶. 𝘀𝗲𝗺𝘂𝗮 𝘀𝗶𝘀𝘁𝗲𝗺 𝗯𝗮𝗶𝗸 𝗱𝗮𝗻 𝘀𝗮𝗻𝗴𝗮𝘁 𝗺𝗲𝗺𝘂𝗮𝘀𝗸𝗮𝗻. 𝘂𝗻𝘁𝘂𝗸 𝗧𝗥𝗔𝗡𝗦𝗔𝗞𝗦𝗜 𝘀𝗮𝘆𝗮 𝗛𝗔𝗥𝗔𝗣 𝗩𝗘𝗥𝗜𝗙𝗜𝗞𝗔𝗦𝗜 𝗪𝗔𝗝𝗔𝗛 𝗔𝗚𝗔𝗥 𝗟𝗘𝗕𝗜𝗛 𝗔𝗠𝗔𝗡 𝗞𝗘𝗖𝗨𝗔𝗟𝗜 𝗗𝗜𝗦𝗔𝗕𝗜𝗟𝗜𝗧𝗔𝗦.",5,,positif,positif
"klo gk ada sinyal provider gk bisa di buka, bikin susah klo lagi di tengah2 laut yg gk ada sinyal sma sekali. pakai sinyal internet dri starlink gk bisa buka.",2,,negatif,negatif
"makin susah pakai byond, kalau belum siap digunakan, nanti saja peluncurannya, nasabah jadi di bikin ribet, lebih baik pakai apk yg lama",1,negatif,negatif,negatif
"Gabisa bayar e-commerce. Giliran download BSI mobile, masukin akun cuma bisa di BYOND. Aneh.",2,,negatif,negatif
0k banget,5,,positif,positif
bermanfaat,5,,positif,positif
Lumayan membantu aplikasinya u/ transaksi pembayaran ke kampus langsung masuk 👍,5,positif,positif,positif
saya sangat tertarik,5,,positif,positif
ini kenapa lagi selalu gagal terus masuk padahal sudah di perbaharui mna lagi penting tolong lah pihak bank tingkatkan kualitas nya,1,,negatif,negatif
"Alhamdulillah sejauh lumayan bagus, cuma kadang ketika transaksi sering terjadi error",4,positif,positif,positif
ngestuck di logo doang knnntol,1,,negatif,negatif
mantap,5,positif,positif,positif
sudah bagus semoga gak di bloc lagi amin,5,,positif,positif
"first time ngasih bintang 1 ke m-banking. byond selalu terkendala, gabisa transfer, gabisa bayar, selalu saja. aplikasi ribet, menyulitkan saya. kalo bukan karna kampus saya yg kerja sama dgn BSI, saya juga ogah pakai BSI. udh ngadu ke cs, ga nyampai 10 detik langsung dialihkan ke bot. ngadu ke petugas bank, malah nyalahin m-banking lain👀 sangat tidak rekomen, tidak syariah, tidak sesuai title, menyulitkan. mau narik jga gabisa, uang masih nyisa di rekening gabisa diapa apain🙌🏻",1,negatif,negatif,negatif
"Developer mode tidak bisa aktif. respon aplikasi lambat. sering maintenancem. tidak bisa matikan notifikasi harga emas, promo.",1,negatif,negatif,negatif
tf ke dana gk bisa² waduh gmn,3,,negatif,negatif
"upgrade keamanan apa persulit nasabah Pindai account, pikir pakai otak dong jgn persulit nasabah mu BSI",1,,negatif,negatif
"Verifikasi Wajah susah sekali, gagal terus",1,,negatif,negatif
"apk gajelas, mau masuk aja gabisa",1,,negatif,negatif
Pelayanan nya ramah,5,,positif,positif
dari tadi download ga selesai selesai,1,,negatif,negatif
Bad,1,,negatif,negatif
okee,5,,positif,positif
Perfect aplikasinya,5,,positif,positif
tidak bisa masuk,1,negatif,negatif,negatif
aplikasi yang memudahkan semua transaksi.,5,,positif,positif
"rihet belibet, bnyak potongan.",2,,negatif,negatif
"gangguan terus heran deh. tolong dong klo mau ada gangguan atau perbaikan aplikasi tolong diberitahukan dlu melalui sms atau notif gitu biar jelas, ini mh bagaimana klo lagi butuh banget tapi aplikasinya gangguan terus.",1,negatif,negatif,negatif
Alhamdulillah akhirnya bisa buka Apk byond.. fitur-fitur nya baguss semuaaa.. good job bank. BSI.. semua menjadi mudah dengan apk byond.. Terima kasih seluruh jajaran bank BSI. berkah selalu..,5,positif,positif,positif
"riwayat transaksi gak pada muncul alias di hapus otomatis, kadang buat bukti yg sudah di tf kalau ada masalah jadi gak bisa, Jadi malas kalau ada transferan suruh jangan ke bsi",2,negatif,negatif,negatif
Alhamdulillah... maaf. penggunaan apl ini kok tidak semuda apk yg lain. tolong bila punyaku yg salah..dibetulkan..,5,,positif,positif
assalamualaikum tolong dong kenapa aplikasi saya tidak bisa dibuka,5,negatif,positif,negatif
aplikasi bank terburuk sepanjang aplikasi bank yang saya pakai.,1,,negatif,negatif
lemot,2,negatif,negatif,negatif
👍👍,4,,positif,positif
"lebih enak memakai bsi mobile yg lama, setiap kali masuk setelah pendaftaran selalu gagal",2,,negatif,negatif
kenapa di beyond bsi tidak ada notif transfer masuk?,2,,negatif,negatif
"Bayar pake QRIS sering bermasalah. 2 hari yang lalu ke swalayan dan mau bayar pake QRIS, saldo sudah terpotong tapi di cek mutasi keterangannya masih di proses sampe detik ini, alhasih bayar double pake cash juga karena dari swalayannya belum nerima juga sampe sekarang. dilaporkan transaksi lewat byond ngga ada respon juga tuh🥲",1,,negatif,negatif
Jaringan lemot cuma bisa buat nyimpan uang,2,negatif,negatif,negatif
banyak bug padahal udh masukin sandi yang bener tpi keterangan nya malah salah sampe ke blokir 💆🏼,1,negatif,negatif,negatif
update nya baikk,5,positif,positif,positif
"bank paling jelek, transaksi gagal tapi saldo di potong dan lebih dari 1x kejadian nya, buat laporan ga ada hasil lebih dari 2 minggu, mau ke cabang atau online ga berguna masih disuruh nunggu selalu tiap ditanya soal pengaduan, tutup aja bsi, buat kalian yg nasabah bsi pindah aja, jangan pakai bsi lagi seumur hidup kalian, bintang 1 juga ga pantas buat bsi",1,negatif,negatif,negatif
"saya blm sampai pekerjaan dan verifikasi wajah, tp kenapa tertera sdh punya rekening. sedangkan saya blm tau berapa nomor rekening saya di aplikasi ini ? jd bingung 😕",1,,negatif,negatif
saya sangat bangga dengan Byond by bsi,5,,positif,positif
makin kesini apk beyond ini bikin pusing aja .dan apk yang sekarang kok malah kemunduran teknologi..apk terburuk kembalikan ke bsi mobile aja,1,,negatif,negatif
"Kenapa appnya tidak di upgrade setor tunai tanpa kartu, kenapa kartu debit saya tidak muncul di manajemen kartu app byond",5,negatif,positif,negatif
aplikasi jelek log in ga bisa suka keluar sendiri,1,positif,negatif,positif
min mau nanya kok pas pertama kali saya download apknya ngk bisa ya ada Malware gitu. sebelumnya saya Makai apknya yg BSI mobile. tapi di aplikasi itu ngk bisa lagi bertransaksi ya min?. dan pas mau saya pakai yg byond tapi ngk bisa min. kok gitu😭,2,,negatif,negatif
lebih bagus aplikasi lama bsi mobile.. beyond tdk bisa ditelusuri bukti transaksi yang lama... bsi mobile lebih bagus dripada aplikasi ini..,1,positif,negatif,positif
aplikasi tidak beres sudah 5 hari ku akses keteranganya byond dalam pemeliharaan sistem,1,,negatif,negatif
"kenapa di byond, menu bayar samsat tidak ada lagi? sedanfkan di aplikasi BSI yg lama ada.",4,negatif,positif,negatif
"Kapan nih diadakan setor tunai tanpa kartu nya, masa cuma tarik tunai aja....",1,,negatif,negatif
sagat mendukung,5,,positif,positif
jelek bgt aplikasinya. verifikasi berulang kali gabisa. aku butuh bgt pdhl. udahlah males buka BSI jelek bgt aplikasinya,1,negatif,negatif,negatif
mantap,4,positif,positif,positif
"Screen Application detected, padahal gaada aplikasi casting yg jalan... Developer Mode juga ga nyala, bisa - bisanya kocakkk... Tim ITnya gimana itu nyusun algoritmanya ?",1,,negatif,negatif
aplikasi gajelas,1,,negatif,negatif
"saya udh ratusan kali daftar byond ini,selalu gagal di muka,udh ganti hp tetap juga,apk payah",1,,negatif,negatif
"transaksi gagal, tpii saldo saya terpotong, darii tgl 2 Agustus kemarin sampee harii ini tgl 12 blm adaa tanda tanda di kembalikan uang saya, apk apaa inii, kembalikan uang sayaa!!!!!",1,,negatif,negatif
kenapa mental teruss mau login,1,,negatif,negatif
bagus,5,positif,positif,positif
bagus,5,positif,positif,positif
gunanya karyawan BSI untuk apa sihh. knapa laporan saya udah Melawati batas jam kerja yang di janjikan tapi belum ada jawaban sampai sekarang. woi bank BSI mana pertanggung jawaban kalian haa,5,,positif,positif
gadai emas mau pelunasan aja lama bgt. nunggu 1 customer 1 jam g selesai-selesai. mau pelunasan aja dipersulit banget. tau gtu dipegadaian aja. meskipun pelanggan puluhan orang antrinya tidak sampai segitunya,1,,negatif,negatif
bermasalah terus tiba2 qr gak terbaca,1,,negatif,negatif
Aplikasi sampah mau transfer mau bayar gak bisa mulu,1,,negatif,negatif
tidak bisa dipakai untuk orang yg punya kekurangan di wajah contoh matanya sipit..malah menyusahkan..bukanya di permudah nasabah...,1,negatif,negatif,negatif
Nggak bisa di instal,1,,negatif,negatif
bagus,5,positif,positif,positif
bagaimana ini mau transfer ke walet slalu susah.. selalu ada kendala,3,,negatif,negatif
"sangat ... sangat... dan sangat mengecewakan... lebih bagus bsi yang dulu ketimbang byond . sering lelet , buka nya lama, transaksi sering gagal, 🥲",1,positif,negatif,positif
"gak bisa qt screenshot, jaringan sering Lelet.... 😮‍💨😮‍💨",1,,negatif,negatif
"Aplikasinya ngak bisa diinstal jir, selalu ada notif gagal menginstall, kocak-kocak.",1,,negatif,negatif
"sangat,,,,samgat membantu dan memudah kan.",4,positif,positif,positif
saya mau aktivasi gabisa2 selalu muncul gini We detected something blocking the application screen to make you sure data is safe. Please close all popups and other overlays. If is nothing obstructing the application screen. Try to restart application and form a malwer scan. 5,1,,negatif,negatif
Kok gak bisa buka sekarang aplikasinya,1,,negatif,negatif
lebih bagus apk dulu,1,positif,negatif,positif
ini saya baru mau mulai buka tabungan saya isi dengan nominal 100.000 RB tapi mengapa cuman 50.000 RB yang terdaftar sisanya kok GK bisa diambil tolong penjelasannya saya GK mau hangus begitu saja tolong penjelasanyya,3,,negatif,negatif
"perbaiki pls, nyusahin klo mau tf bank lain",1,,negatif,negatif
MALU SAMA BANK LAIN DONG.. CUMA BUAT AKTIFASI AJA RIBET BGT HARUS BAWA BUKU TABUNGAN SEGALA SUDAH ADA ATMNYA & KTP MASIH AJA DIPERSULIT... MENDING BALIK SEPERTI DULU MANDIRI SYARIAH,1,negatif,negatif,negatif
"suka ganggu sistem buruk,bank tidak profesional",1,positif,negatif,positif
"setiap log in luama buanget.. udah lama eh, eh harus log in lagi.. jd pindah ke aplikasi mbanking yg lain yg lebih cepat deh",2,positif,negatif,positif
"sebagai agen selama kurang lebih 2thn, cukup sering merasa d rugikan karena aplikasi byond ini sering gk bisa d buka malah stuck d logo. jadinya nasabah gk jadi transaksi. karena d EDC masih ada fitur yg tidak bisa d gunakan dan hanya bisa d akses di mbanking. rekening yg satu sengaja masih ada apk lama yg BSI mobile karena cuma itu yg bisa nolong. tapi rekening yg satu lagi karena baru, mau aktivasi di BSI mobile malah gabisa karena harus pake byond.",3,negatif,negatif,negatif
BYOND is the best Finansial,5,,positif,positif
saya co di shopee pake bsi tapi gagal dan saldo saya terpotong pdhal transaksi gagal dan sampe 5hari uang saya belum kembali mending pake bsi mobile aja lah dari pda ini yg baru gak jelas sering loading sering ganguan,5,,positif,positif
Saya sangat kecewa sekali! pada saat mau bayar kredit justru aplikasinya tidak bisa dibuka? kalau pelayanannya seperti ini terus tidak lama saya bisa pindah bank kalau tidak bisa menyelesaikan nasabahnya dalam melakukan transaksi online?,1,negatif,negatif,negatif
goodd,5,,positif,positif
"Sering nge bug, loadingnya lama",1,negatif,negatif,negatif
tidak bisa masuk ke akun sendiri. slalu terjadi kendala cobalah beberapa saat lgi. tapi tetap TDK bisa,3,negatif,negatif,negatif
"buat rek thn 2022 tapi gak bisa masuk ke aplikasi hingga thn 2025, ternyata rek masih aktiv meski gak pernah tf atau nabung",1,,negatif,negatif
aplikasi masih sering gangguan dan harus diperbaiki serta tambahkan fitur setor tunai tanpa kartu agar tidak perlu cetak atm,4,negatif,positif,negatif
lemot bgt,2,negatif,negatif,negatif
"aplikasi kebanyakan aturan mu screenshot gk bisa,opsi pengembang gk bisa.semua nya aja gk bisa ngent",1,,negatif,negatif
"BANYAK RUSAKNYA NIH APLIKASI, LOADING MASUK 1 ABAD, KLIK SINI KLIK SANA LOADINGNYA 2 TAHUN, MANA REWEL BANGET GAK BISA DI SS, SALDO TIBA TIBA TERTAHAN BGSTT. TIDAK DISARANKAN UNTUK MENGINSTAL APK INI, LEBIH BAIK KALIAN INSTAL APK YG LAIN AJA.",1,positif,negatif,positif
apa ini udah berapa hari cuma ubah data doang acc nya lama amat udah tahu perlu bintang 1 lah lama bener buat acc ubah data aja,1,,negatif,negatif
"tolong segera tambahkan agar BSI Junior bisa mengakses byond by bsi,karena repot bolak balik ATM terus menerus untuk ber transaksi",5,,positif,positif
aplikasi nya tolong lah minta akses lokasi tapi uda di ksh akses pun ga bisa buka ribet bnr sampe hrs mnt lokasi,2,negatif,negatif,negatif
"min kenapa enggak bisa di pake transaksi ya transfer dan terima enggak bisa , kemarin baru di aktifkan lagi oleh bank masih enggak bisa sudah saya download aplikasi ulang tetap tidak bisa",1,negatif,negatif,negatif
"sering terjadi gangguan, ketika masuk menu investasi tanggal pemberian kupon selalu terjadi gangguan.",1,negatif,negatif,negatif
"Ini Aplikasi bikin tekanan darah tinggi naik, password udah betul... tapi ttp aja gak bisa masuk. Ayo dong kualitas aplikasi nya diperbaiki lagi, supaya nasabah gak kecewa. Ini hampir semua yg komen rata-rata kecewa dengan pelayanan nya.",3,negatif,negatif,negatif
baru pertama kali merasakan kesulitan dalam mengurusi masalah..gak tau deh konsepnya gimana,1,negatif,negatif,negatif
bisa ndak gak minta2 lokasi terus ?,2,,negatif,negatif
"ayolah di tingkatkan, seringnya gagal transaksi terjadwal.",3,,negatif,negatif
apakah bisa di instal di pad/tablet? saya udh instal tp mnta diizinkan akses lokasi padahal udh diizinkan,3,,negatif,negatif
"KEKURANGAN APLIKASI ERROR TERUS,MASIH BAGUS BSI YG LAMA. POSISI DI TENGAH LAUT TIDAK BISA DI BUKA, MENDING PAKAI BRIMO BRI DAN LIVIN MANDIRI POSISI DI LAUT AMAN TIDAK ERROR TANPA GPS AKTIF...INI BYON ERROR TERUS KALAU DI LAUT KEKURANGAN DI LAUT GPS AKTIF PUN SUSAH BUAT DI LAUT APLIKASI INI BYON BSI KURANG BANYAK ERROR BAGUS BRIMO BRI DAN LIVIN MANDIRI KEMBALIKAN APLIKASI BSI YANG LAMA BUKAN BYON YANG BANYAK ERROR DILAUT",1,positif,negatif,positif
jelek,3,negatif,negatif,negatif
saya lebih suka app BSI...Byond sering lelet... mungkin masih Beta..app sudah di update masih aja lelet..,1,positif,negatif,positif
bagus,5,positif,positif,positif
"apalah ke close mulu, lagi urgent jg malah ke close mulu kadang gamau kebuka😑",1,,negatif,negatif
tolong di ilang kan sistem logi pakai lokasi GPSnya.. kita yang di laut ini susah login.. asik keluar2 terus.. mohon untuk meningkatkan lagi,3,,negatif,negatif
overlapping pop ups error,1,negatif,negatif,negatif
saya selaku bsi agen kecewa aplikasi sering lama bukanya baru baru ini dan saya udah kisaran 5 bulan lebih komplain maslah uang masuk yag gak ada ( keterangan jam dan menitnya aneh kan) sampai sekrang gk ada pemabaruan udah komplain ke cs nya udh lebih dari 5x koplaon masalah jam tetep aja gak ada perubahan lama lama bikin males nih aplikasi,1,negatif,negatif,negatif
keamananya untuk bsi sangat baik,5,positif,positif,positif
"tf lewat Qris bsi nunggu 5hari baru masuk ke rekening, kocak... 🤣 ewallet Shopee/dana 1detik udah masuk.",1,,negatif,negatif
"apk ini sudah cukup bagus, apalagi semenjak adanya pembaruan apk ini sudah sudah berkembang dan mengurangi berbagai macam bug dan juga memperkuat sistem keamanannya sehingga sudah lebih aman untuk digunakan",4,positif,positif,positif
sangat jelek.. mn mgkn dpt bersaing dgn bank syariah dunia kalo appnya bgini,1,negatif,negatif,negatif
"aplikasinya gajelas, sering keluar sendiri saat dibuka",2,,negatif,negatif
hbs update malah makin lemot gak bisa dibuka.,1,negatif,negatif,negatif
kenapa aplikasi ni koq tiap mau di gunakan keluarr truss... herna aku... koq gak di perbaiki2,1,,negatif,negatif
gak jelas asal di bukak selalu keluar aplikasi,1,,negatif,negatif
Jelek Banget Saldo Tertahan 50RB Padahal Keterangan nya Tidak Ada Saldo Tertahan Cuman Ada Potongan Biaya Admin Saya Top Up Malah 50 Nya Nyangkut Ini Bug Atau Apa Sih Cape Banget Lama lama sama Byond.,1,negatif,negatif,negatif
"aplikasi BSI bank sakit indonesia, jika cek mutasi yg banyak tidak bisa, eror terus, jika banyak transaksi tidak bisa di cek, tolong aplikasi di tingkat kan",1,negatif,negatif,negatif
jelek sering eror buat transaksi,2,negatif,negatif,negatif
oke,5,,positif,positif
sering bgt gangguaaannnn,2,,negatif,negatif
"apps nya eror. baru mau buat m banking tdk bisa terus, data yang saya masukan sdh benar",1,,negatif,negatif
"saat penarikan dana di atm bsi indomaret penjernih,masa uang cashnya sobek",1,,negatif,negatif
parah x pass udh benar tapi salah trus katanya bolak balik ganti pass mana banyak x aturan passwordnya,3,negatif,negatif,negatif
Buka Byond disuruh Update.. setelah Update ga bisa dibuka.. haduuuh..,1,,negatif,negatif
mantappp,5,,positif,positif
"Baru pertama pake transaksi; dapat TF auto dipotong 50rb. Hedeuh.. Mana kagak ada pemberitahuan sebelumnya. Kalah sama e-wallet lain, tanpa potongan & saldo aman, yg pasti bisa di 0 kan..",3,positif,negatif,positif
Aplikasi saya gagal transaksi terus mohon di perbaiki,1,,negatif,negatif
tiap hari kok perbaikan siih. jadi susah klo mau qris,1,,negatif,negatif
BSI ( Bank Sampah Indonesia) sampai sini paham kan?,1,,negatif,negatif
"baiknya APK ini di uninstall saja, bikin naik darah, apk cuma mentok di menu awal, coba di install di device yg lain masih saja sama, sedang install game berat aman, jadi bukan device saya yg bermasalah mana bsi mobile sudah tidak bisa diakses. sangat mempersulit untuk bank yg ketersediaan atmnya yg masih bisa dibilang kurang untuk dibeberapa daerah",1,positif,negatif,positif
"aplikasinya separah ini yah? tiap mau transaksi mesti restart hp terus? tiap mau login selalu gabisa slalu aja muncul ""we detected something block ... "", padahal password dah bener. setelah direstart hpnya baru bisa. trus baru transaksi top up bisa, setelahnya mau transfer ke rek lain, malah harus restart hp lg. error terus nih, enakan pake BSI Mobile yg lama. sangat tidak memuaskan, malah sebel terus jadinya. juga malu²in nasabah tiap mau Qris ke merchant slalu lama & mesti restart hp berkali²",1,negatif,negatif,negatif
assalamualaikum aplikasi tidak dapat melakukan transfer dll,1,,negatif,negatif
"gak usah pakai byound BSI kalau mau traksaksi mau beli token listrik dari siang sampai malam gak bisa di buka sistem maintence , jadi jangan pakai aplikasi ini sangat menyulitkan",1,,negatif,negatif
aplikasi gak bermutu. aplikasi perbankan palinh sering eror dan gangguan. sangat menggangu produktivitas.,1,negatif,negatif,negatif
"sering problem wkwk, VA nya sering gabisa. Giliran make VA bank lain langsung bisa",1,,negatif,negatif
mantap,5,positif,positif,positif
semoga lebih baik lagi,5,positif,positif,positif
aplikasi kurang bagus terjadi kendala e mas nya dan pelayanan pengaduannya sangat tidak nyambung. apa yang di tanya apa yang di jawab,3,positif,negatif,positif
👍,5,,positif,positif
tidak bisa login,5,negatif,positif,negatif
jozzz lnjudkenn amanah nya tmksh,5,,positif,positif
"assalamualaikum BSI kenapa ya pengajuan di BSI lama bnget selesainya sperti kartu ketelan sama duit storannya sudah masuk tapi duitnya ga masuk ke rekening,pdhl yg bermasalah mesinnya eror dan Cctv ada pas ke kc harus bngt detail berapa lembar yg di masukkan.tolong di perbaiki lagi biar yg lain bisa menikmati bhwa BSI lebih baik lagi.",2,positif,negatif,positif
bank apa sii ini? gua transfer 100k yg masuk cuman 50k jlk bgtttt,1,,negatif,negatif
mantap,5,positif,positif,positif
dari smnjak beralih ke beyond sampe skrg masih blum bisa transfer. padahal notif selalu masuk. nerima transfer pun nggak bisa. knpa yaanini..,1,,negatif,negatif
KENAPA SERING ERORRRRR,3,,negatif,negatif
"Maaf,, sy terpaksa menarik sluruh dana sy di BSI utk dipindahkan ke bank lain yg layanan aplikasi mobile nya jauh lbh baik krn sy kecewa banget dg layanan aplikasi beyond yg SUPER SANGAT BURUK... sy sngt menyesal buka rekning di BSI klo tau aplikasi mobilenya sangat,, sangat,, sangat buruk,,",1,positif,negatif,positif
ini aplikasi knp ya udh bagus BSI malah di ganti setiap mau transfer selalu error 🙂,1,positif,negatif,positif
bang kasih tau bosnya si bsi lah stiap cabang satpamnya judes2 amat kasian ama org tua yg nggak tau teknologi apalagi pas di suruh instal byond trus di suruh isi formulir malah di aniaya dgn kejudesannya 😭 plislah ksih tau satpam stiap cabang buat ramah walaupun lu lelah di tanya kan itu pekerjaanlu bambang,1,,negatif,negatif
tolong diperbaiki masalah aplikasinya . bisa mncntoh bank sebelah yg sdh bagus stabil dan bnyak fitur. jangan hnya mengandalkan inisiatif sendiri tapi mncontoh yg lain demi kebaikan orang banyak .,3,positif,negatif,positif
aplikasi tidak siap pakai,1,,negatif,negatif
"maaf saya kan tolong di perbaiki lagi apk nya masih banyak kekurangan, terlebih lagi dari keamanan kalau bisa di awal jangan gunakan pw bisa ganti ke sidik jari atau seperti bank lainya, soalnya gara gara itu banyak nasabah yang ke blokir akun BSI mobile dan ketika mau perbaikan padahal nomor reg dan nik udah benar pasti di bilang selalu salah.",1,,negatif,negatif
ini knp gw gabisa buka jir udh uninstall hapus data tetep aja sama,1,,negatif,negatif
"kalo gk karena penggajian dari kantor gk akan gua pake BSI, aplikasi dan ATM error terus",1,negatif,negatif,negatif
hari ini gak bisa dibuka ? ada apa,3,,negatif,negatif
"transaksi gagal tapi saldo kekuras, apa coba ini.. buat aplikasi jangan yang murah..., ini mengenai duit orang banyak..., sistemnya jelek parah..., ngerugiin nasabah., kalo gagal ya jangan nguras rekening...",1,negatif,negatif,negatif
